"","employees","salaries_2017","adjustments","salaries_2018","raise"
"34","Employee 34",42908.8063491508,6386.09900837764,49294.9053575285,TRUE
"35","Employee 35",47633.4549859166,5483.31176978536,53116.766755702,TRUE
"36","Employee 36",43594.9735320173,-3297.45788825676,40297.5156437606,FALSE
"37","Employee 37",47194.958711043,8797.56270209327,55992.5214131363,TRUE
"38","Employee 38",46773.7630847842,7399.96830234304,54173.7313871272,TRUE
"39","Employee 39",46065.5828681774,-1492.34667536803,44573.2361928094,FALSE
"40","Employee 40",43896.811499726,1538.08099799789,45434.8924977239,TRUE
"41","Employee 41",43595.725428313,7059.39436564222,50655.1197939552,TRUE
"42","Employee 42",46373.0956031941,-4363.81463543512,42009.280967759,FALSE
"43","Employee 43",42652.8742699884,7231.18541063741,49884.0596806258,TRUE
"44","Employee 44",46748.773381114,5800.33803824335,52549.1114193574,TRUE
"45","Employee 45",40647.0177741721,-4026.94254182279,36620.0752323493,FALSE
"46","Employee 46",45652.8913439251,2787.18316578306,48440.0745097082,TRUE
"47","Employee 47",40549.6973078698,1010.82576788031,41560.5230757501,TRUE
"48","Employee 48",43795.0035557151,3084.59574938752,46879.5993051026,TRUE
"49","Employee 49",49860.3831441142,4347.62057615444,54208.0037202686,TRUE
"50","Employee 50",44843.0753685534,-1336.35359699838,43506.721771555,FALSE
"51","Employee 51",45670.5964053981,-3776.76605130546,41893.8303540926,FALSE
"52","Employee 52",40806.7918405868,191.136773210019,40997.9286137968,TRUE
"53","Employee 53",49744.7028313763,1217.52820443362,50962.23103581,TRUE
"54","Employee 54",49453.4785626456,4514.64180136099,53968.1203640066,TRUE
"55","Employee 55",49110.6575285085,8400.06609098054,57510.723619489,TRUE
"56","Employee 56",46152.6702018455,-2590.93877277337,43561.7314290721,FALSE
"57","Employee 57",47281.2228207476,1012.80079223216,48294.0236129798,TRUE
"58","Employee 58",42096.249377355,6105.11237755418,48201.3617549092,TRUE
"59","Employee 59",44360.6592598371,9339.54057400115,53700.1998338383,TRUE
"60","Employee 60",40753.0116499402,-4980.06502981298,35772.9466201272,FALSE
"61","Employee 61",44024.3013575673,2114.79426943697,46139.0956270043,TRUE
"62","Employee 62",45137.0199490339,-4716.35558642447,40420.6643626094,FALSE
"63","Employee 63",41132.65134627,9824.94146213867,50957.5928084087,TRUE
"64","Employee 64",43746.6089008376,8383.62484122626,52130.2337420639,TRUE
"65","Employee 65",46601.5950008295,4487.75780037977,51089.3528012093,TRUE
"66","Employee 66",44322.4640144035,42.0056865550578,44364.4697009586,TRUE
"67","Employee 67",46031.8051534705,1476.82364331558,47508.6287967861,TRUE
"68","Employee 68",45679.3345604092,6396.53424383141,52075.8688042406,TRUE
"69","Employee 69",45588.8730078004,1873.99574904703,47462.8687568475,TRUE
"70","Employee 70",45898.159139324,4961.08286315575,50859.2420024797,TRUE
"71","Employee 71",44904.1611747816,6198.53602605872,51102.6972008403,TRUE
"72","Employee 72",49125.2610017546,-856.229895725846,48269.0311060287,FALSE
"73","Employee 73",43858.1451354548,5381.34672446176,49239.4918599166,TRUE
"74","Employee 74",43388.7022128329,1052.75000794791,44441.4522207808,TRUE
"75","Employee 75",46680.3985601291,2037.99299313687,48718.391553266,TRUE
"76","Employee 76",41339.1562085599,9332.36058335751,50671.5167919174,TRUE
"77","Employee 77",43318.4716221876,6983.83260518312,50302.3042273708,TRUE
"78","Employee 78",44612.8375339322,699.97187005356,45312.8094039857,TRUE
"79","Employee 79",46874.5337682776,-993.38807282038,45881.1456954572,FALSE
"80","Employee 80",40167.3132111318,1546.82750697248,41714.1407181043,TRUE
"81","Employee 81",48332.0068288594,234.321609605104,48566.3284384646,TRUE
"82","Employee 82",40644.4989447482,-4792.09677898325,35852.4021657649,FALSE
"83","Employee 83",49557.6163334772,7820.04137057811,57377.6577040553,TRUE
"84","Employee 84",45075.5041302182,-1113.08788415045,43962.4162460677,FALSE
"85","Employee 85",47601.2595067732,8250.04560058005,55851.3051073533,TRUE
"86","Employee 86",40539.4723010249,4685.23000832647,45224.7023093514,TRUE
"87","Employee 87",43595.6959240139,7648.45448429696,51244.1504083108,TRUE
"88","Employee 88",48003.3889808692,8399.50557565317,56402.8945565224,TRUE
"89","Employee 89",45398.3548982069,8676.46220838651,54074.8171065934,TRUE
"90","Employee 90",42094.1541227512,2061.88102951273,44156.0351522639,TRUE
"91","Employee 91",41721.6252838261,9128.75940208323,50850.3846859094,TRUE
"92","Employee 92",44109.7133373842,-2037.44146274403,42072.2718746401,FALSE
"93","Employee 93",45637.35029893,-1676.89205030911,43960.4582486209,FALSE
"94","Employee 94",41059.9526995793,-2422.00321517885,38637.9494844005,FALSE
"95","Employee 95",48212.5193998218,8648.6737895757,56861.1931893975,TRUE
"96","Employee 96",49348.1227336451,5276.62466163747,54624.7473952826,TRUE
"97","Employee 97",44160.3847360238,6540.62270419672,50701.0074402206,TRUE
"98","Employee 98",48259.470674675,3083.1778596621,51342.6485343371,TRUE
"99","Employee 99",44655.4883616045,6184.05375629663,50839.5421179011,TRUE
"100","Employee 100",44032.4082667939,-4223.80223171785,39808.6060350761,FALSE
